                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6795,                 2.8105,                 1.1054,                0.71246,                 0.7543,                   0.75,                0.36926,                 1.6463,                 1.0326,                 1.2043,             0.00023721,             0.00023721,             0.00023721
                      2,                 1.5881,                 1.0612,                 1.0715,                0.75769,                0.73845,                0.76443,                 0.3945,                 1.6106,                0.99162,                 1.1822,             0.00045639,             0.00045639,             0.00045639
                      3,                  1.558,                 0.9727,                 1.0723,                0.75418,                0.76871,                0.78487,                0.40731,                 1.5522,                0.98066,                 1.1726,             0.00065672,             0.00065672,             0.00065672
                      4,                 1.5632,                0.91721,                 1.0648,                0.75633,                0.77391,                0.77151,                0.40889,                 1.5427,                0.92571,                 1.1323,             0.00062918,             0.00062918,             0.00062918
                      5,                 1.5127,                0.89281,                 1.0487,                0.73277,                0.77837,                0.77676,                0.40975,                 1.5348,                0.95869,                  1.139,             0.00062918,             0.00062918,             0.00062918
                      6,                 1.4899,                0.86226,                 1.0329,                 0.7659,                0.78828,                0.79855,                0.41961,                 1.4796,                0.89265,                 1.1121,              0.0006009,              0.0006009,              0.0006009
                      7,                 1.4746,                0.84551,                  1.036,                0.78011,                0.76187,                0.79347,                0.43059,                 1.4736,                0.83838,                  1.104,             0.00057263,             0.00057263,             0.00057263
                      8,                 1.4599,                0.82264,                 1.0273,                0.78176,                0.79333,                0.81352,                0.44916,                 1.4419,                0.84367,                 1.0952,             0.00054435,             0.00054435,             0.00054435
                      9,                 1.4322,                0.80475,                 1.0142,                0.80739,                0.79176,                0.83555,                0.45653,                 1.4349,                 0.8183,                 1.0819,             0.00051608,             0.00051608,             0.00051608
                     10,                 1.4319,                0.79191,                 1.0069,                0.78084,                0.81028,                0.82559,                 0.4685,                    1.4,                0.77368,                 1.0764,              0.0004878,              0.0004878,              0.0004878
                     11,                 1.4018,                0.77465,                 1.0045,                0.80679,                0.78656,                0.83244,                0.46632,                 1.4123,                0.79271,                 1.0768,             0.00045953,             0.00045953,             0.00045953
                     12,                 1.3934,                0.76237,                 1.0014,                0.80821,                0.79145,                0.83901,                0.46445,                 1.3885,                0.79297,                 1.0704,             0.00043126,             0.00043126,             0.00043126
                     13,                 1.3768,                0.75871,                0.99654,                0.76678,                0.80809,                0.82818,                0.46637,                 1.4061,                0.77317,                 1.0821,             0.00040298,             0.00040298,             0.00040298
                     14,                 1.3738,                0.75063,                 0.9955,                0.81001,                0.80083,                0.84442,                0.47796,                 1.3822,                0.76891,                 1.0618,             0.00037471,             0.00037471,             0.00037471
                     15,                 1.3357,                0.71883,                0.98106,                0.81646,                0.81545,                 0.8576,                0.47445,                 1.3969,                0.75607,                 1.0613,             0.00034643,             0.00034643,             0.00034643
                     16,                 1.3729,                0.72741,                0.99404,                0.79919,                0.81866,                0.83509,                0.47649,                 1.3751,                0.74807,                 1.0533,             0.00031816,             0.00031816,             0.00031816
                     17,                 1.3699,                0.72359,                0.99123,                0.80095,                0.81489,                0.84058,                 0.4826,                 1.3663,                0.75918,                 1.0471,             0.00028988,             0.00028988,             0.00028988
                     18,                 1.3568,                0.71616,                0.98725,                0.80337,                0.80339,                0.84364,                 0.4864,                 1.3408,                 0.7426,                 1.0351,             0.00026161,             0.00026161,             0.00026161
                     19,                 1.3404,                0.69541,                0.97646,                0.83024,                0.80646,                0.84951,                0.49874,                 1.3535,                0.73792,                 1.0396,             0.00023334,             0.00023334,             0.00023334
                     20,                 1.3225,                0.68657,                0.97834,                0.82538,                0.81574,                0.84639,                0.49481,                 1.3489,                0.72722,                 1.0472,             0.00020506,             0.00020506,             0.00020506
                     21,                 1.3129,                 0.6736,                0.97254,                0.80476,                0.81166,                0.84925,                0.50136,                 1.3101,                0.71567,                 1.0242,             0.00017679,             0.00017679,             0.00017679
                     22,                 1.3048,                0.66612,                0.97013,                0.80825,                 0.8237,                0.85422,                0.50195,                 1.3369,                0.70855,                 1.0385,             0.00014851,             0.00014851,             0.00014851
                     23,                 1.2866,                0.65604,                0.96463,                 0.8099,                0.82326,                0.84546,                0.49988,                 1.3206,                0.70206,                 1.0317,             0.00012024,             0.00012024,             0.00012024
                     24,                 1.2784,                0.64364,                0.96135,                0.81536,                0.83117,                0.85692,                0.51121,                 1.3037,                0.69282,                 1.0253,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     25,                 1.2696,                0.63727,                 0.9567,                0.82275,                 0.8265,                0.85023,                0.50925,                 1.3021,                 0.6928,                 1.0221,             6.3689e-05,             6.3689e-05,             6.3689e-05
